Pos.;Giocatore;Nazione;Punti;+/- pos.;+/- punti
1;Novak Djokovic;SRB;9135;0;90
2;Rafael Nadal;ESP;7480;0;0
3;Roger Federer;SUI;6420;0;0
4;Alexander Zverev;GER;6385;0;0
5;Juan Martin Del Potro;ARG;5300;0;0
6;Kevin Anderson;RSA;4810;0;100
7;Marin Cilic;CRO;4160;0;-90
8;Dominic Thiem;AUT;4095;0;0
9;Kei Nishikori;JPN;3750;0;160
10;John Isner;USA;3155;0;0
11;Karen Khachanov;RUS;2835;0;0
12;Borna Coric;CRO;2435;0;-45
13;Fabio Fognini;ITA;2315;0;0
14;Kyle Edmund;GBR;2150;0;0
15;Stefanos Tsitsipas;GRE;2095;0;0
16;Daniil Medvedev;RUS;2037;0;60
17;Milos Raonic;CAN;1900;1;45
18;Marco Cecchinato;ITA;1889;2;70
19;Diego Sebastian Schwartzman;ARG;1880;-2;0
20;Nikoloz Basilashvili;GEO;1820;1;25
21;Grigor Dimitrov;BUL;1790;-2;-45
22;David Goffin;BEL;1785;0;0
23;Roberto Bautista Agut;ESP;1765;1;160
24;Pablo Carreno-Busta;ESP;1705;-1;0
25;Hyeon Chung;KOR;1585;0;0
26;Richard Gasquet;FRA;1535;0;0
27;Denis Shapovalov;CAN;1440;0;0
28;Fernando Verdasco;ESP;1410;0;0
29;Alex De Minaur;AUS;1253;2;-45
30;Lucas Pouille;FRA;1245;2;0
31;Gilles Simon;FRA;1210;-1;-160
32;Gael Monfils;FRA;1195;-3;-205
33;Steve Johnson;USA;1190;0;0
34;Philipp Kohlschreiber;GER;1125;0;0
35;Marton Fucsovics;HUN;1122;1;0
36;Jeremy Chardy;FRA;1120;4;70
37;Andreas Seppi;ITA;1100;0;-6
38;John Millman;AUS;1083;0;0
39;Frances Tiafoe;USA;1080;0;0
40;Martin Klizan;SVK;1050;1;0
41;Adrian Mannarino;FRA;1045;1;0
42;Malek Jaziri;TUN;1042;3;28
43;Nicolas Jarry;CHI;1022;0;0
44;Joao Sousa;POR;1017;0;0
45;Dusan Lajovic;SRB;1010;3;25
46;Damir Dzumhur;BIH;985;1;0
47;Matthew Ebden;AUS;981;-1;-20
48;Sam Querrey;USA;955;3;0
49;Robin Haase;NED;940;1;-25
50;Taylor Harry Fritz;USA;933;-1;-41
51;Nick Kyrgios;AUS;920;-16;-205
52;Matteo Berrettini;ITA;916;2;-16
53;Pierre-Hugues Herbert;FRA;903;2;0
54;Leonardo Mayer;ARG;895;2;0
55;Benoit Paire;FRA;890;-3;-45
56;Mikhail Kukushkin;KAZ;890;-3;-45
57;Tomas Berdych;CZE;865;14;150
58;Jan-Lennard Struff;GER;855;-1;-20
59;Stan Wawrinka;SUI;830;7;45
60;Peter Gojowczyk;GER;830;-1;-25
61;Marius Copil;ROU;823;-1;0
62;Denis Kudla;USA;818;1;8
63;Tennys Sandgren;USA;814;-2;0
64;Feliciano Lopez;ESP;795;0;0
65;Albert Ramos-Vinolas;ESP;790;0;0
66;Guido Pella;ARG;790;-8;-70
67;Aljaz Bedene;SLO;760;0;-20
68;Mischa Zverev;GER;746;1;-4
69;Ivo Karlovic;CRO;739;31;150
70;Maximilian Marterer;GER;732;4;26
71;Vasek Pospisil;CAN;716;-1;0
72;Jordan Thompson;AUS;715;0;0
73;Roberto Carballes Baena;ESP;714;0;0
74;Jaume Antoni Munar Clar;ESP;702;7;39
75;Yoshihito Nishioka;JPN;701;0;0
76;Bradley Klahn;USA;699;0;0
77;Federico Delbonis;ARG;696;3;18
78;Taro Daniel;JPN;691;-1;0
79;Mackenzie Mcdonald;USA;688;-1;0
80;Guido Andreozzi;ARG;682;-1;0
81;Ryan Harrison;USA;660;-19;-150
82;Pablo Andujar;ESP;658;0;0
83;Ernests Gulbis;LAT;657;12;45
84;Andrey Rublev;RUS;655;-16;-105
85;Bernard Tomic;AUS;655;-2;0
86;Christian Garin;CHI;650;-2;0
87;Jiri Vesely;CZE;649;2;20
88;Hubert Hurkacz;POL;635;-2;-1
89;Jozef Kovalik;SVK;632;-4;-6
90;Pablo Cuevas;URU;630;-2;0
91;Laslo Djere;SRB;621;2;0
92;Filip Krajinovic;SRB;620;2;0
93;Cameron Norrie;GBR;616;-3;-11
94;Ilya Ivashka;BLR;610;-3;-12
95;Evgeny Donskoy;RUS;599;2;5
96;Radu Albot;MDA;592;2;0
97;Mirza Basic;BIH;585;-10;-51
98;Ugo Humbert;FRA;584;4;12
99;Denis Istomin;UZB;577;-7;-45
100;Thomas Fabbiano;ITA;573;1;0
101;Guillermo Garcia-Lopez;ESP;565;4;22
102;Reilly Opelka;USA;561;-3;-29
103;Pedro Sousa;POR;550;1;0
104;Lorenzo Sonego;ITA;549;3;17
105;Jack Sock;USA;540;1;0
106;Felix Auger Aliassime;CAN;539;2;12
107;Richard Berankis;LTU;531;9;24
108;Michael Mmoh;USA;526;-5;-37
109;Paolo Lorenzi;ITA;525;0;0
110;Marcel Granollers;ESP;525;-14;-73
111;Casper Ruud;NOR;518;1;0
112;Prajnesh Gunneswaran;IND;515;-2;-6
113;Lukas Lacko;SVK;514;1;0
114;Elias Ymer;SWE;511;1;0
115;Jared Donaldson;USA;500;-4;-20
116;Ruben Bemelmans;BEL;496;1;0
117;Juan Ignacio Londero;ARG;491;1;0
118;Peter Polansky;CAN;478;1;-4
119;Lloyd Harris;RSA;472;8;14
120;Jason Jung;TPE;470;1;0
121;Marco Trungelliti;ARG;469;2;6
122;Marcos Baghdatis;CYP;466;2;6
123;Hugo Dellien;BOL;466;-1;0
124;David Ferrer;ESP;460;1;0
125;Yannick Maden;GER;460;1;0
126;Miomir Kecmanovic;SRB;458;5;25
127;Thiago Moura Monteiro;BRA;449;-7;-26
128;Quentin Halys;FRA;445;0;0
129;Matthias Bachinger;GER;440;1;0
130;Adrian Menendez-Maceiras;ESP;436;-1;-6
131;Jason Murray Kubler;AUS;433;-18;-83
132;Ramkumar Ramanathan;IND;433;0;0
133;Sergiy Stakhovsky;UKR;430;1;6
134;Rogerio Dutra Da Silva;BRA;422;25;90
135;Bjorn Fratangelo;USA;421;1;0
136;Simone Bolelli;ITA;416;5;32
137;Gilles Muller;LUX;413;1;0
138;Carlos Berlocq;ARG;411;1;0
139;Stefano Travaglia;ITA;401;-6;-25
140;Yuki Bhambri;IND;400;-3;-20
141;Noah Rubin;USA;389;-6;-35
142;Dennis Novak;AUT;387;-2;0
143;Constant Lestienne;FRA;384;8;27
144;Lukas Rosol;CZE;383;-2;0
145;Thanasi Kokkinakis;AUS;379;1;12
146;Yuichi Sugita;JPN;378;-1;8
147;Jurgen Zopp;EST;372;-4;0
148;Antoine Hoang;FRA;371;1;12
149;Alexei Popyrin;AUS;367;-2;0
150;Mats Moraing;GER;363;0;4
151;Tatsuma Ito;JPN;360;-3;0
152;Corentin Moutet;FRA;355;-8;-17
153;Facundo Bagnis;ARG;353;0;0
154;Yannick Hanfmann;GER;349;-2;-6
155;Gianluigi Quinzi;ITA;349;0;6
156;Salvatore Caruso;ITA;341;2;8
157;Egor Gerasimov;BLR;340;0;6
158;Gregoire Barrere;FRA;339;5;17
159;Alex Bolt;AUS;337;-5;-15
160;Pedro Martinez Portero;ESP;336;-4;0
161;Dominik Koepfer;GER;336;0;5
162;Alessandro Giannessi;ITA;332;-2;0
163;Yasutaka Uchiyama;JPN;332;22;57
164;Luca Vanni;ITA;325;4;8
165;Alexander Bublik;KAZ;323;-3;0
166;Henri Laaksonen;SUI;319;3;8
167;Tim Smyczek;USA;318;-3;0
168;Filippo Baldi;ITA;318;-3;0
169;Oscar Otte;GER;318;-2;1
170;Marc Polmans;AUS;317;-4;-1
171;Christopher Eubanks;USA;313;-1;6
172;Darian King;BAR;308;26;48
173;Pedja Krstin;SRB;305;-2;0
174;Nikola Milojevic;SRB;300;0;0
