Pos.;Giocatore;Nazione;Punti;+/- pos.;+/- punti
1;Novak Djokovic;SRB;12355;0;240
2;Rafael Nadal;ESP;7945;0;0
3;Roger Federer;SUI;5950;0;180
4;Dominic Thiem;AUT;4845;0;0
5;Alexander Zverev;GER;4155;0;-590
6;Stefanos Tsitsipas;GRE;4080;1;290
7;Kei Nishikori;JPN;3860;-1;0
8;Kevin Anderson;RSA;3745;0;-10
9;Juan Martin Del Potro;ARG;3235;0;90
10;John Isner;USA;2940;1;-10
11;Fabio Fognini;ITA;2830;1;-90
12;Karen Khachanov;RUS;2800;1;80
13;Marin Cilic;CRO;2710;-3;-315
14;Daniil Medvedev;RUS;2625;0;0
15;Borna Coric;CRO;2525;0;80
16;Gael Monfils;FRA;1965;0;0
17;Milos Raonic;CAN;1960;0;0
18;Nikoloz Basilashvili;GEO;1925;0;20
19;Marco Cecchinato;ITA;1840;0;0
20;Diego Sebastian Schwartzman;ARG;1755;4;315
21;Roberto Bautista Agut;ESP;1690;-1;45
22;Guido Pella;ARG;1480;-1;-15
23;Denis Shapovalov;CAN;1425;-1;-45
24;Alex De Minaur;AUS;1410;2;-10
25;Lucas Pouille;FRA;1385;0;-35
26;Fernando Verdasco;ESP;1370;12;170
27;Stan Wawrinka;SUI;1365;2;0
28;Felix Auger Aliassime;CAN;1344;2;-5
29;Gilles Simon;FRA;1340;-1;-35
30;David Goffin;BEL;1325;-7;-135
31;Kyle Edmund;GBR;1325;-4;-80
32;Matteo Berrettini;ITA;1320;1;45
33;Dusan Lajovic;SRB;1316;-2;0
34;Laslo Djere;SRB;1314;-2;33
35;Frances Tiafoe;USA;1230;-1;-25
36;Nick Kyrgios;AUS;1225;0;0
37;Christian Garin;CHI;1201;-2;-42
38;Marton Fucsovics;HUN;1170;-1;-35
39;Richard Gasquet;FRA;1105;0;0
40;Jeremy Chardy;FRA;1065;2;25
41;Cameron Norrie;GBR;1055;4;60
42;Pierre-Hugues Herbert;FRA;1053;-2;0
43;Hubert Hurkacz;POL;1040;-2;0
44;Jan-Lennard Struff;GER;1035;7;70
45;Radu Albot;MDA;1031;-1;25
46;Taylor Harry Fritz;USA;1010;6;56
47;Grigor Dimitrov;BUL;985;1;0
48;Mikhail Kukushkin;KAZ;980;-1;-10
49;Adrian Mannarino;FRA;976;1;10
50;Pablo Cuevas;URU;963;-1;-10
51;Benoit Paire;FRA;938;-5;-55
52;Jaume Antoni Munar Clar;ESP;900;3;0
53;Philipp Kohlschreiber;GER;895;3;0
54;Martin Klizan;SVK;883;6;0
55;John Millman;AUS;875;2;-10
56;Pablo Carreno-Busta;ESP;860;-13;-170
57;Damir Dzumhur;BIH;856;1;-29
58;Reilly Opelka;USA;853;-5;-94
59;Steve Johnson;USA;850;0;-35
60;Filip Krajinovic;SRB;838;9;100
61;Ugo Humbert;FRA;823;1;0
62;Sam Querrey;USA;815;-1;-10
63;Casper Ruud;NOR;810;13;115
64;Matthew Ebden;AUS;806;-10;-125
65;Mackenzie Mcdonald;USA;796;-2;-15
66;Andreas Seppi;ITA;795;-1;10
67;Robin Haase;NED;781;-3;-29
68;Leonardo Mayer;ARG;770;-2;-10
69;Jordan Thompson;AUS;757;-1;0
70;Joao Sousa;POR;746;2;29
71;Yoshihito Nishioka;JPN;741;4;35
72;Richard Berankis;LTU;734;-2;0
73;Lorenzo Sonego;ITA;729;-6;-45
74;Roberto Carballes Baena;ESP;707;12;60
75;Nicolas Jarry;CHI;705;-4;-19
76;Andrey Rublev;RUS;696;3;20
77;Daniel Evans;GBR;691;6;35
78;Juan Ignacio Londero;ARG;685;-5;-25
79;Denis Kudla;USA;671;1;0
80;Ernests Gulbis;LAT;667;-6;-40
81;Marius Copil;ROU;667;0;0
82;Bernard Tomic;AUS;665;3;16
83;Miomir Kecmanovic;SRB;656;1;1
84;Federico Delbonis;ARG;641;-6;-35
85;Jo-Wilfried Tsonga;FRA;633;7;10
86;Prajnesh Gunneswaran;IND;629;3;0
87;Tennys Sandgren;USA;619;6;0
88;Bradley Klahn;USA;618;-1;-20
89;Lloyd Harris;RSA;617;2;-7
90;Alexander Bublik;KAZ;616;4;0
91;Albert Ramos-Vinolas;ESP;615;-3;-20
92;Hugo Dellien;BOL;613;4;11
93;Pablo Andujar;ESP;608;2;0
94;Malek Jaziri;TUN;602;-4;-25
95;Ivo Karlovic;CRO;599;2;0
96;Peter Gojowczyk;GER;595;-14;-70
97;Aljaz Bedene;SLO;595;-20;-90
98;Thomas Fabbiano;ITA;592;2;0
99;Denis Istomin;UZB;583;4;0
100;Tomas Berdych;CZE;575;2;-10
101;Paolo Lorenzi;ITA;575;3;0
102;Guido Andreozzi;ARG;572;-4;-25
103;Mischa Zverev;GER;570;-2;-16
104;Henri Laaksonen;SUI;548;1;-18
105;Jiri Vesely;CZE;543;-6;-51
106;Marcel Granollers;ESP;539;2;0
107;Taro Daniel;JPN;534;0;-5
108;Feliciano Lopez;ESP;530;-2;-10
109;Alexei Popyrin;AUS;520;0;1
110;Maximilian Marterer;GER;513;0;0
111;Sergiy Stakhovsky;UKR;512;1;0
112;Brayden Schnur;CAN;511;3;7
113;Thiago Moura Monteiro;BRA;509;0;1
114;Dennis Novak;AUT;506;7;35
115;Yannick Maden;GER;504;-1;-1
116;Elias Ymer;SWE;496;2;3
117;Corentin Moutet;FRA;495;6;39
118;Kamil Majchrzak;POL;486;-7;-27
119;Ilya Ivashka;BLR;484;0;0
120;Stefano Travaglia;ITA;483;4;28
121;Jason Jung;TPE;482;8;55
122;Ryan Harrison;USA;455;-6;-45
123;Guillermo Garcia-Lopez;ESP;454;-1;-8
124;Peter Polansky;CAN;447;1;-1
125;Pedro Sousa;POR;446;-5;-29
126;Facundo Bagnis;ARG;443;18;48
127;Matthias Bachinger;GER;443;3;18
128;David Ferrer;ESP;435;-2;-10
129;Gregoire Barrere;FRA;432;-12;-65
130;Marcos Baghdatis;CYP;430;-2;0
131;Alex Bolt;AUS;423;1;0
132;Jozef Kovalik;SVK;420;2;8
133;Alejandro Davidovich Fokina;ESP;418;-2;-6
134;Pedro Martinez Portero;ESP;418;9;22
135;Soon-Woo Kwon;KOR;417;12;29
136;Tommy Paul;USA;416;-3;0
137;Bjorn Fratangelo;USA;415;-1;7
138;Lukas Rosol;CZE;411;-3;0
139;Lukas Lacko;SVK;405;7;15
140;Marco Trungelliti;ARG;404;1;5
141;Sebastian Ofner;AUT;403;-14;-29
142;Michael Mmoh;USA;401;-4;0
143;Gianluca Mager;ITA;401;-3;0
144;Ramkumar Ramanathan;IND;393;1;0
145;Oscar Otte;GER;391;-6;-10
146;Evgeny Donskoy;RUS;390;4;8
147;Antoine Hoang;FRA;388;-5;-9
148;Salvatore Caruso;ITA;388;0;0
149;Mikael Ymer;SWE;386;0;0
150;Adrian Menendez-Maceiras;ESP;381;1;0
151;James Duckworth;AUS;374;2;0
152;Nikola Milojevic;SRB;370;-15;-33
153;Quentin Halys;FRA;370;1;0
154;Andrej Martin;SVK;362;12;29
155;Egor Gerasimov;BLR;361;3;0
156;Hyeon Chung;KOR;360;3;0
157;Lorenzo Giustino;ITA;358;8;22
158;Tatsuma Ito;JPN;357;2;-3
159;Jay Clarke;GBR;350;3;0
160;Joao Domingues;POR;340;3;-7
161;Filip Horansky;SVK;339;3;0
162;Marcos Giron;USA;337;-5;-25
163;Filippo Baldi;ITA;336;-2;-19
164;Ruben Bemelmans;BEL;332;3;7
165;Alessandro Giannessi;ITA;325;3;0
166;Noah Rubin;USA;325;3;0
167;Jack Sock;USA;320;-12;-45
168;Enrique Lopez-Perez;ESP;312;7;7
169;James Ward;GBR;305;5;0
170;Dominik Koepfer;GER;303;3;-3
171;Jason Murray Kubler;AUS;301;5;0
172;Mitchell Krueger;USA;301;0;-7
173;Jurgen Zopp;EST;300;4;0
174;Carlos Berlocq;ARG;297;4;0
175;Dustin Brown;GER;297;-4;-13
176;Daniel Brands;GER;295;3;0
177;Rudolf Molleker;GER;292;-25;-82
178;Vasek Pospisil;CAN;289;-22;-75
179;Stefano Napolitano;ITA;289;2;0
180;Thanasi Kokkinakis;AUS;286;2;0
181;Kimmer Coppejans;BEL;286;2;0
182;Yasutaka Uchiyama;JPN;285;2;0
183;Roberto Marcora;ITA;285;7;7
184;Yannick Hanfmann;GER;284;-4;-8
185;Arthur De Greef;BEL;281;40;60
186;Hiroki Moriya;JPN;280;0;0
187;Jurij Rodionov;AUT;279;1;0
188;Blaz Rola;SLO;278;1;0
189;Yuichi Sugita;JPN;276;-2;-3
190;Marc Polmans;AUS;276;1;0
191;Simone Bolelli;ITA;272;1;0
