Pos.;Giocatore;Nazione;Punti;+/- pos.;+/- punti
1;Novak Djokovic;SRB;11685;0;0
2;Rafael Nadal;ESP;7945;0;0
3;Roger Federer;SUI;6950;0;0
4;Dominic Thiem;AUT;4925;0;0
5;Daniil Medvedev;RUS;4125;0;-70
6;Alexander Zverev;GER;4005;0;0
7;Kei Nishikori;JPN;4005;0;0
8;Stefanos Tsitsipas;GRE;3455;0;0
9;Karen Khachanov;RUS;2890;0;0
10;Roberto Bautista Agut;ESP;2575;0;0
11;Fabio Fognini;ITA;2510;0;0
12;Borna Coric;CRO;2160;0;0
13;Gael Monfils;FRA;2140;0;0
14;John Isner;USA;2075;0;0
15;David Goffin;BEL;2055;0;0
16;Juan Martin Del Potro;ARG;2050;0;0
17;Kevin Anderson;RSA;2050;0;0
18;Nikoloz Basilashvili;GEO;1985;0;0
19;Felix Auger Aliassime;CAN;1750;0;0
20;Guido Pella;ARG;1735;0;0
21;Diego Sebastian Schwartzman;ARG;1725;0;0
22;Milos Raonic;CAN;1630;0;0
23;Marin Cilic;CRO;1590;0;0
24;Stan Wawrinka;SUI;1535;0;0
25;Matteo Berrettini;ITA;1535;0;0
26;Benoit Paire;FRA;1508;4;105
27;Lucas Pouille;FRA;1475;-1;0
28;Taylor Harry Fritz;USA;1465;-1;0
29;Dusan Lajovic;SRB;1441;-1;0
30;Nick Kyrgios;AUS;1430;-1;0
31;Kyle Edmund;GBR;1325;0;0
32;Christian Garin;CHI;1321;0;0
33;Denis Shapovalov;CAN;1310;5;70
34;Fernando Verdasco;ESP;1310;-1;0
35;Hubert Hurkacz;POL;1308;6;230
36;Richard Gasquet;FRA;1280;-2;0
37;Jan-Lennard Struff;GER;1280;-2;0
38;Alex De Minaur;AUS;1270;-2;0
39;Laslo Djere;SRB;1245;-2;0
40;Gilles Simon;FRA;1240;-1;0
41;Radu Albot;MDA;1137;-1;0
42;Reilly Opelka;USA;1076;0;0
43;Andrey Rublev;RUS;1066;4;35
44;Joao Sousa;POR;1061;-1;0
45;Frances Tiafoe;USA;1060;7;45
46;Sam Querrey;USA;1055;0;20
47;Mikhail Kukushkin;KAZ;1041;-3;0
48;Pierre-Hugues Herbert;FRA;1038;-3;0
49;Lorenzo Sonego;ITA;1029;-1;3
50;Miomir Kecmanovic;SRB;1026;-1;4
51;Albert Ramos-Vinolas;ESP;1019;-1;0
52;Filip Krajinovic;SRB;1018;-1;0
53;Pablo Cuevas;URU;1013;0;0
54;Casper Ruud;NOR;980;0;4
55;Jordan Thompson;AUS;976;0;0
56;Juan Ignacio Londero;ARG;970;0;0
57;Adrian Mannarino;FRA;961;0;0
58;Daniel Evans;GBR;955;0;0
59;Yoshihito Nishioka;JPN;946;0;0
60;John Millman;AUS;936;1;25
61;Feliciano Lopez;ESP;923;2;20
62;Cameron Norrie;GBR;915;-2;0
63;Ugo Humbert;FRA;909;-1;0
64;Marton Fucsovics;HUN;885;1;0
65;Jo-Wilfried Tsonga;FRA;885;1;0
66;Marco Cecchinato;ITA;880;1;0
67;Federico Delbonis;ARG;869;1;0
68;Richard Berankis;LTU;857;2;0
69;Pablo Carreno-Busta;ESP;852;-5;-45
70;Pablo Andujar;ESP;850;1;3
71;Philipp Kohlschreiber;GER;831;1;0
72;Tennys Sandgren;USA;826;1;0
73;Nicolas Jarry;CHI;820;-4;-45
74;Jeremy Chardy;FRA;815;0;0
75;Alexander Bublik;KAZ;808;0;0
76;Roberto Carballes Baena;ESP;787;0;0
77;Andreas Seppi;ITA;735;0;-10
78;Grigor Dimitrov;BUL;722;0;0
79;Ivo Karlovic;CRO;694;0;0
80;Aljaz Bedene;SLO;685;0;0
81;Stefano Travaglia;ITA;672;0;0
82;Corentin Moutet;FRA;650;1;0
83;Martin Klizan;SVK;619;1;0
84;Hugo Dellien;BOL;618;1;0
85;Bernard Tomic;AUS;617;1;0
86;Steve Johnson;USA;610;-4;-60
87;Thomas Fabbiano;ITA;610;0;0
88;Prajnesh Gunneswaran;IND;610;1;10
89;Peter Gojowczyk;GER;604;-1;0
90;Soon-Woo Kwon;KOR;599;0;0
91;Marcel Granollers;ESP;576;0;0
92;Brayden Schnur;CAN;568;0;0
93;Marius Copil;ROU;562;3;10
94;Kamil Majchrzak;POL;557;0;0
95;Leonardo Mayer;ARG;555;-2;-10
96;Mackenzie Mcdonald;USA;555;-1;0
97;Jaume Antoni Munar Clar;ESP;550;0;0
98;Tomas Berdych;CZE;540;3;10
99;Damir Dzumhur;BIH;535;6;15
100;Lloyd Harris;RSA;535;-1;0
101;Thiago Moura Monteiro;BRA;532;-1;0
102;Salvatore Caruso;ITA;528;0;0
103;Malek Jaziri;TUN;526;0;0
104;Antoine Hoang;FRA;524;-6;-12
105;Alexei Popyrin;AUS;521;1;3
106;Guido Andreozzi;ARG;509;-2;-15
107;Mikael Ymer;SWE;505;0;0
108;Bradley Klahn;USA;503;0;0
109;Gregoire Barrere;FRA;496;0;0
110;Matthew Ebden;AUS;491;0;0
111;Denis Kudla;USA;491;0;0
112;Dennis Novak;AUT;488;2;0
113;Matthias Bachinger;GER;484;2;0
114;Tommy Paul;USA;482;-2;-8
115;Norbert Gombos;SVK;482;1;0
116;Elias Ymer;SWE;475;2;0
117;Bjorn Fratangelo;USA;474;2;7
118;Dominik Koepfer;GER;474;-5;-16
119;Henri Laaksonen;SUI;462;1;0
120;Jason Jung;TPE;457;1;0
121;Yannick Maden;GER;450;1;0
122;Evgeny Donskoy;RUS;443;1;0
123;Ernests Gulbis;LAT;442;1;0
124;Andrej Martin;SVK;442;13;48
125;Pedro Sousa;POR;436;0;0
126;Alejandro Davidovich Fokina;ESP;434;0;0
127;Blaz Rola;SLO;416;0;0
128;Lorenzo Giustino;ITA;413;0;0
129;Egor Gerasimov;BLR;406;0;0
130;Attila Balazs;HUN;401;0;0
131;James Duckworth;AUS;400;1;0
132;Tatsuma Ito;JPN;397;1;0
133;Yuichi Sugita;JPN;397;1;0
