Pos.;Giocatore;Nazione;Punti;+/- pos.;+/- punti
1;Novak Djokovic;SRB;12415;0;-300
2;Rafael Nadal;ESP;7945;0;0
3;Roger Federer;SUI;6620;0;200
4;Dominic Thiem;AUT;4595;0;-90
5;Alexander Zverev;GER;4405;0;45
6;Stefanos Tsitsipas;GRE;4215;0;0
7;Kei Nishikori;JPN;4040;0;0
8;Kevin Anderson;RSA;3610;0;45
9;Karen Khachanov;RUS;2980;0;0
10;Fabio Fognini;ITA;2785;0;0
11;Juan Martin Del Potro;ARG;2740;1;45
12;John Isner;USA;2715;-1;0
13;Daniil Medvedev;RUS;2625;0;0
14;Borna Coric;CRO;2205;0;-410
15;Gael Monfils;FRA;2055;1;0
16;Nikoloz Basilashvili;GEO;1960;1;-10
17;Milos Raonic;CAN;1945;1;45
18;Marin Cilic;CRO;1940;-3;-455
19;Stan Wawrinka;SUI;1715;0;0
20;Matteo Berrettini;ITA;1665;2;160
21;Felix Auger Aliassime;CAN;1654;0;132
22;Roberto Bautista Agut;ESP;1600;-2;-90
23;David Goffin;BEL;1510;10;255
24;Diego Sebastian Schwartzman;ARG;1485;-1;45
25;Gilles Simon;FRA;1445;13;255
26;Guido Pella;ARG;1430;-2;0
27;Denis Shapovalov;CAN;1390;-2;0
28;Lucas Pouille;FRA;1340;1;45
29;Alex De Minaur;AUS;1330;-3;0
30;Laslo Djere;SRB;1329;-3;0
31;Kyle Edmund;GBR;1280;-1;0
32;Benoit Paire;FRA;1278;-4;-25
33;Dusan Lajovic;SRB;1271;-2;0
34;Jan-Lennard Struff;GER;1265;1;25
35;Christian Garin;CHI;1259;-3;-9
36;Fernando Verdasco;ESP;1210;1;0
37;Adrian Mannarino;FRA;1171;-3;-70
38;Pierre-Hugues Herbert;FRA;1168;5;160
39;Frances Tiafoe;USA;1160;-3;-70
40;Marco Cecchinato;ITA;1130;0;0
41;Radu Albot;MDA;1126;0;25
42;Taylor Harry Fritz;USA;1090;0;0
43;Nick Kyrgios;AUS;1045;-4;-135
44;Pablo Cuevas;URU;1003;0;0
45;Jordan Thompson;AUS;967;1;0
46;Richard Gasquet;FRA;965;8;45
47;Mikhail Kukushkin;KAZ;955;0;0
48;Grigor Dimitrov;BUL;952;-3;-45
49;Cameron Norrie;GBR;940;0;0
